         10620 function calls (9872 primitive calls) in 0.026 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:88(to_query)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:154(accept)
        1    0.000    0.000    0.000    0.000 {built-in method decode_all}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\visitor.py:77(visit_query)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\transform.py:29(query)
       99    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:184(update)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:89(__call__)
        4    0.000    0.000    0.000    0.000 {built-in method __build_class__}
     1109    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 C:\Python34\lib\copy.py:67(copy)
       48    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:1006(__set_field_display)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1621(get_data)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\manager.py:27(__get__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\fields.py:89(prepare_query_value)
      167    0.000    0.000    0.000    0.000 {built-in method hasattr}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\message.py:253(get_message)
       49    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\son.py:95(__new__)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\re.py:217(compile)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\re.py:273(_compile)
      242    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\document.py:688(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\server.py:150(get_socket)
      2/1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\document.py:171(_get_collection)
       23    0.000    0.000    0.000    0.000 C:\Python34\lib\abc.py:178(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {built-in method loads}
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_compile.py:460(compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1423(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1408(_search_registry)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:220(send_message)
       76    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\fields.py:536(document_type)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:514(get_socket)
        1    0.000    0.000    0.000    0.000 {built-in method exec}
        1    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\dereference.py:1(<module>)
      242    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1401(_open_registry)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\collection.py:1010(find)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1099(create)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\message.py:238(as_command)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\cursor.py:103(__init__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\message.py:169(_gen_find_command)
        2    0.000    0.000    0.000    0.000 {built-in method OpenKey}
      2/1    0.000    0.000    0.000    0.000 C:\Python34\lib\contextlib.py:63(__exit__)
       21    0.000    0.000    0.000    0.000 {built-in method sorted}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
       88    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\fields.py:64(to_python)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology.py:135(select_server)
        4    0.000    0.000    0.000    0.000 C:\Python34\lib\copy.py:272(_reconstruct)
       20    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:301(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1631(path_stats)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:738(parse)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       48    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\objectid.py:68(__init__)
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\collection.py:75(__init__)
      2/1    0.000    0.000    0.000    0.000 C:\Python34\lib\contextlib.py:57(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:586(return_socket)
      331    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       48    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\datastructures.py:373(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\database.py:225(__getitem__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:824(cached)
        3    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\queryset\base.py:52(__init__)
       10    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\document.py:154(fget)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology.py:83(select_servers)
        1    0.000    0.000    0.000    0.000 {built-in method _query_message}
       10    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\bson\objectid.py:252(__str__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:261(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\document.py:720(ensure_indexes)
       48    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\base\fields.py:439(to_python)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:50(_path_join)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:351(_parse_sub)
      291    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 C:\Python34\lib\_weakrefset.py:70(__contains__)
       38    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\mongoengine\fields.py:222(to_python)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_compile.py:445(_code)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\mongo_client.py:701(_get_topology)
        1    0.000    0.000    0.000    0.000 C:\Python34\lib\sre_parse.py:429(_parse)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\pool.py:551(_get_socket_no_auth)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\topology.py:58(open)
       10    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\database.py:366(_fix_outgoing)
       53    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1DA74CB8}
        2    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\periodic_executor.py:50(open)
      144    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\collection.py:219(__getattr__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
        1    0.000    0.000    0.000    0.000 C:\Seafile\Py\si\lib\site-packages\pymongo\thread_util.py:83(release)
